iter	Passed	Remaining
0	47	409485
1	54	234363
2	60	172131
3	61	131285
4	63	108609
5	65	92524
6	65	79955
7	66	70894
8	67	64202
9	68	58629
10	187	145083
11	189	134744
12	193	126858
13	195	118771
14	262	149200
15	263	140480
16	271	136332
17	274	130000
18	275	123472
19	276	117661
20	277	112707
21	279	108262
22	281	104096
23	281	99988
24	282	96293
25	283	92914
26	285	89900
27	285	86874
28	286	84138
29	287	81476
30	287	78941
31	289	76846
32	289	74609
33	290	72609
34	291	70756
35	292	69038
36	293	67502
37	295	66044
38	296	64564
39	297	63134
40	297	61633
41	298	60428
42	300	59297
43	304	58831
44	305	57618
45	310	57304
46	311	56358
47	312	55350
48	313	54279
49	313	53242
50	404	67398
51	407	66555
52	408	65455
53	409	64346
54	414	63897
55	416	63134
56	425	63312
57	504	73851
58	506	72839
59	508	71862
60	508	70750
61	518	70836
62	518	69747
63	527	69890
64	561	73195
65	570	73272
66	640	80970
67	676	84343
68	738	90696
69	811	98180
70	812	96896
71	881	103652
72	943	109386
73	944	108007
74	976	110256
75	992	110507
76	1056	116076
77	1117	121267
78	1178	126195
79	1239	131044
80	1300	135794
81	1301	134259
82	1364	139067
83	1426	143551
84	1488	148058
85	1556	152976
86	1619	157334
87	1678	161220
88	1710	162435
89	1772	166409
90	1832	170139
91	1894	174008
92	1956	177690
93	2017	181230
94	2076	184557
95	2136	187935
96	2195	191058
97	2253	194127
98	2311	197083
99	2373	200284
100	2429	203021
101	2487	205790
102	2546	208555
103	2601	211022
104	2659	213633
105	2715	216096
106	2784	219455
107	2841	221866
108	2914	225428
109	2978	228263
110	3053	231882
111	3124	235114
112	3184	237495
113	3243	239733
114	3312	242656
115	3375	245107
116	3439	247627
117	3500	249854
118	3564	252242
119	3627	254562
120	3692	256928
121	3754	259090
122	3811	260825
123	3871	262749
124	3926	264323
125	3990	266509
126	4023	266531
127	4088	268703
128	4150	270616
129	4218	272894
130	4282	274917
131	4345	276815
132	4410	278782
133	4474	280661
134	4536	282433
135	4596	284011
136	4659	285765
137	4721	287452
138	4791	289565
139	4856	291371
140	4924	293368
141	4993	295322
142	5056	296932
143	5117	298382
144	5180	299907
145	5244	301549
146	5297	302487
147	5355	303652
148	5419	305194
149	5487	306955
150	5555	308669
151	5619	310102
152	5682	311470
153	5741	312663
154	5809	314295
155	5872	315594
156	5933	316843
157	5997	318186
158	6059	319392
159	6128	320973
160	6192	322295
161	6259	323705
162	6347	326223
163	6415	327663
164	6478	328838
165	6542	330043
166	6608	331337
167	6674	332602
168	6738	333789
169	6801	334873
170	6863	335924
171	6926	336972
172	6987	337953
173	7049	338953
174	7113	340016
175	7175	341007
176	7240	342101
177	7319	343834
178	7390	345213
179	7456	346334
180	7525	347561
181	7587	348427
182	7588	346527
183	7655	347672
184	7718	348577
185	7779	349401
186	7835	350004
187	7897	350844
188	7983	352766
189	8045	353592
190	8109	354483
191	8172	355334
192	8235	356187
193	8305	357300
194	8368	358134
195	8430	358906
196	8493	359681
197	8557	360527
198	8622	361390
199	8682	362076
200	8750	363044
201	8812	363770
202	8876	364569
203	8940	365321
204	9004	366103
205	9064	366712
206	9069	365086
207	9125	365536
208	9187	366212
209	9252	367001
210	9319	367869
211	9383	368612
212	9450	369446
213	9515	370216
214	9582	371052
215	9649	371868
216	9680	371280
217	9739	371796
218	9799	372348
219	9861	372944
220	9920	373450
221	9982	374036
222	10043	374572
223	10102	375069
224	10165	375683
225	10226	376191
226	10289	376830
